ID,"pre_After reading the participant information on Quercus, please select one of the following:",pre_Are you a first-year student?,pre_Are you an international student?,pre_Is English your first language?,pre_Please tick all that apply. You are:,pre_What first-year calculus course have you taken or are you currently taking?,pre_Have you taken or are you taking a first-year programming course?,pre_In what statistics program of study have you enrolled or would you like to enrol in (select your first choice)?,pre_How would you describe your professional writing ability?,pre_What is your experience with programming?,pre_What is your experience with the Python programming language?,pre_How do you evaluate your skill level at Python programming?,"pre_How effectively do you feel you can perform statistical data analysis with Python?
",pre_Which of the following statements best describe your feelings about the use of Python for STA130? Select all that apply.,pre_Which of the following statements best describe your feelings about learning to code in Python in STA130? Select all that apply.,"pre_Which of the following statements best describes your feelings about learning to code in general? 
",pre_participation_indicator,post_Approximately how many total hours per week on average did you spend on STA130 this semester?,post_Approximately how many total hours per week on average did you spend completing STA130 assignments (not counting general studying or attending or reviewing class meetings)?,post_Which of the following did you routinely utilize and find helpful in supporting your ability to learn Python as part of STA130? (You may select more than one),"post_Which of the following did you find to be the MOST helpful and supportive in terms of performing well in STA130 overall? (You may select more than one)
","post_Which aspects of STA130 do you think were the LEAST helpful and supportive for student success in the class? (You may select more than one)
",post_How do you evaluate your skill level at Python programming?,post_How successful were you in learning Python this semester?,post_How much has your skill at Python programming increased since the beginning of the semester?,"post_Which of the following statements best describes your feelings about learning to code in general?
","post_Which of the following statements best describes your assessment of the amount of resources available in STA130 to support your ability to learn to code in Python?
",post_Has STA130 jump-started and fostered your ability to learn python?,"post_Is it helpful to have previous experience with computer programming or simultaneously take a computer programming course to do well in STA130?
",post_Did you enjoy learning statistical and data science concepts based on first introducing them through Python?,"post_Through your experience with the course project and other course (or non-course) activities, how effectively do you feel you can perform statistical data analysis with Python?",post_How much do you feel your skill at performing statistical data analysis with Python has improved since the beginning of the semester?,post_How strong is your sense of community and belonging here at UofT?,post_How strong is your sense of community and belonging in STA130?,post_How helpful has STA130 been in helping you develop a sense of community and belonging at UofT?,"post_What aspects of the STA130 course contributed to and supported developing a sense of community and belonging here at UofT? (You may select more than one)
",post_How would you describe your professional writing ability?,post_How helpful were the weekly writing assignments (in the Weekly Homeworks and Tutorial Activities and Assignments) for the development of your professional writing ability?,post_How helpful was the course project and related activities and assignments in giving you an opportunity to apply your communication skills?,"post_What aspects of the course contributed MOST to the development of your professional writing ability? (You may select more than one)
","post_Describe the purpose of statistical inference (for example, testing and confidence intervals)","post_Applying statistical methods for description, prediction and inference",post_Visualizing data,post_Use simulation to solve a variety of problems with data,"post_Manipulating and ""wrangling"" data",post_Using Python for data analysis,post_Communicating in writing to both statisticians and non-statisticians,post_Communicating orally to both statisticians and non-statisticians,post_Translating practical problems into statistical terms and vice versa,post_Describing how ethical practice is important in statistical work,post_Using statistical knowledge to solve problems in other disciplines,post_Understanding statistical analysis as a problem-solving process (i.e. from study design through data exploration and analysis through communication of results),post_Evaluating strengths and limitations of solutions to statistical problems,post_What was the most interesting part of this course?,post_What would you add or what would you change about the course?
317,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,White;,MAT137,CSC108 (or equivalent programming experience),Statistics Major,Good,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Very ineffectively,"I am language agnostic, and don't really care which programming language we use;I am glad we're using the same programming language as corequisite CSC courses ;","I am concerned that it will be very hard to learn Python;I am concerned that I might not be able to learn to program in Python on my own;I am excited to be learning a practical skill that's greatly valued in industry;I am concerned that the course might not provide enough support to help me learn Python;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
318,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I am glad we're using the same programming language as corequisite CSC courses ;I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,"I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am concerned that I might not be able to learn to program in Python on my own;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
319,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC110,Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,"I wish I did not have to learn Python, I don't think it's very important for me ;",I am excited to be learning a practical skill that's greatly valued in industry;I am concerned that it will be very hard to learn Python;I am concerned that I might not be able to learn to program in Python on my own;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
320,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Specialist: Methods and Practice,Adequate,I have used a programming language in a class or some other context for somewhere between one to two years,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Advanced,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 8 to 12 hours,Between 4 to 6 hours ,"Monday In-Person Class Lectures;Weekly homework;Friday In-Person Tutorials ;""General"" Office Hours;","OCCS Class Lecture Recordings;Monday In-Person Class Lectures;Monday Class Coding Notebooks;""General"" Office Hours;""Piazza"" Discussion Board;Weekly homework;Corequisite CSC Requirements;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;","""Piazza"" Discussion Board;",Expert,Somewhat successful ,Moderately,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Good, STA130 provides a reasonable amount of support for learning how to code in Python","Mostly, STA130 was generally helpful for learning Python",Very helpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Very effectively,Moderately,Somewhat strong,Extremely strong,Extremely helpful,The STA130 Mentorship Program;OCCS Class Lecture Recordings;Monday In-Person Class Lectures;Friday In-Person Tutorials ;,Very good,Very helpful,Very helpful,"Monday In-Person Class Lectures;OCCS Class Lecture Recordings;""General"" Office Hours;",Reasonably well,Reasonably well,Extremely well,Extremely well,Reasonably well,Extremely well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Linear regression model and decision tree,No
321,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,CSC108 (or equivalent programming experience),Statistics Major,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,"I am excited to be learning a practical skill that's greatly valued in industry;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,Between 12 to 15 hours,Between 4 to 6 hours ,"OCCS Class Lecture Recordings;Monday Class Coding Notebooks;""Coding"" Office Hours;""Piazza"" Discussion Board;Weekly homework;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutoring (or other paid services);","Weekly homework;Friday Tutorial Presentation Notebooks;Friday In-Person Tutorials ;""Coding"" Office Hours;""Piazza"" Discussion Board;",The Course Project;,Beginner,Neither successful nor unsuccessful ,Moderately,I need access to some guidance and support to help me as I start to learn to code,"Good, STA130 provides a reasonable amount of support for learning how to code in Python","Moderately, STA130 was fairly helpful for learning Python",Somewhat helpful,"Yes, I liked having course topics introduced using Python",Neither effectively nor ineffectively,Moderately,Neutral,Neutral,Very helpful,"The STA130 Mentorship Program;""Coding"" Office Hours;""Piazza"" Discussion Board;Friday In-Person Tutorials ;",Adequate,Moderately helpful,Moderately helpful,Tutorial Assignments;Weekly homework;The STA130 Mentorship Program;,Reasonably well,Neutral,Reasonably well,Reasonably well,Reasonably well,Neutral,Reasonably well,Reasonably well,Reasonably well,Extremely well,Extremely well,Reasonably well,Reasonably well,"I think the most interesting part is the ethics, since it is related to our real life and help us make some decisions based on this part.","I think the project is somehow confusing, so I hope the outline can be more detailed."
322,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),None of the above,Poor,I have used a programming language in a class or some other context for somewhere between up to half of a year,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I don't think programming should be a part of a statistics course;,"I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
323,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),None of the above,Good,I have used a programming language in a class or some other context for somewhere between up to half of a year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Beginner,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, and plan to figure things out myself",TRUE,Between 12 to 15 hours,Between 4 to 6 hours ,Monday In-Person Class Lectures;,Monday In-Person Class Lectures;,Monday In-Person Class Lectures;,Intermediate,Somewhat successful ,Substantially,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Nonexistant, I essentially had to try to learn to code in Python on my own","Moderately, STA130 was fairly helpful for learning Python",Very helpful,"Yes, I liked having course topics introduced using Python",Somewhat effectively,Substantially,Somewhat strong,Somewhat strong,Moderately helpful,Monday In-Person Class Lectures;Tutorial Assignments;,Very good,Very helpful,Very helpful,Corequisite CSC Requirements;,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Neutral,Monday lecture.,nothing/
324,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"South Asian (e.g. East Indian, Pakistani, Sri Lankan);",MAT157,CSC108 (or equivalent programming experience),Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between one to two years,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Intermediate,Very ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;,"I can learn to code on my own, and plan to figure things out myself",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
325,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Adequate,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,I have never used the Python programming language before this taking course,Beginner,Very ineffectively,I am glad we're using the same programming language as corequisite CSC courses ;,"I am excited to be learning a practical skill that's greatly valued in industry;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;","I would prefer to learn to code in a clear structured classroom format, as classes using coding should teach you how to code",TRUE,Between 8 to 12 hours,More than 6 hours,"""General"" Office Hours;Friday In-Person Tutorials ;Friday Tutorial Presentation Notebooks;Tutorial Assignments;Weekly homework;","""General"" Office Hours;Weekly homework;Friday In-Person Tutorials ;Tutorial Activities;","Monday In-Person Class Lectures;""General"" Office Hours;",Beginner,Neither successful nor unsuccessful ,Minimally,I need access to some guidance and support to help me as I start to learn to code,"Nonexistant, I essentially had to try to learn to code in Python on my own","Minimally, but STA130 was only somewhat helpful for learning Python",Somewhat unhelpful,"Yes, I liked having course topics introduced using Python",Somewhat effectively,Tremendously,Somewhat strong,Neutral,Moderately helpful,"Friday In-Person Tutorials ;""General"" Office Hours;",Adequate,Slightly helpful,Moderately helpful,Friday Tutorial Presentation Notebooks;,Extremely well,Reasonably well,Extremely well,Extremely well,Reasonably well,Neutral,Reasonably well,Neutral,Neutral,Neutral,Neutral,Reasonably well,Neutral,"While challenging, I found hypothesis testing using bootstrap and permutation shuffling very interesting.","I found the monday lectures to be quite hard to follow, as we dive straight into coding without being introduced to the theory. It's strange that the theory is mostly taught during the homework and the friday tutorial sessions, which come after the actual coding lecture. I find both the homework and tutorial worksheet to be very well planned out, but the structure of the course to be quite challenging to follow. I think it would make more sense to make the lecture into 1/2 theory 1/2 coding, or make the tutorial session and homework come before the actual coding lecture. Thankfully I am in the afternoon section. After week 6 or so I tried to allocate an hour or two before my afternoon class at 12 to watch the recording of the morning lecture just so that I can try and keep up with Professor Schartz lecture. I remember professor Schwartz mentioning in the beginning of the course that we should try and code alongside with him, but I found that to be quite impossible. Thankfully with the morning session's code posted, I am able to write down key notes next to the morning lecture's codes. Just trying to keep up with the general concept that Professor Schwartz discusses during lecture is already hard enough, if i had to debug errors with my limited python skills during the lecture, it would've been a disaster (that was me in the first few weeks). Without it, I would have had a much harder time following along. Professor Schartz is a wonderful professor. He is very approachable and overall very pleasant to talk with. Extremely nice and helpful to students, but I feel like during lectures he goes through the content too fast. Thankfully, the lectures are recorded, and I often revisit it. Additionally, having the tutorial homework assigned after friday and due on monday morning is quite unfair, as we have no access to office hours, piazza (TA's dont response over the weekend), and help in general. While the tutorial assignments are lower stakes, it still would be nice to have access to help."
326,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Major,Good,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Intermediate,Somewhat effectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
327,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Statistics Minor,Adequate,I have used a programming language in a class or some other context for somewhere between half of a year to a whole year,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Intermediate,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am concerned that it will be very hard to learn Python;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 8 to 12 hours,Between 2 of 4 hours,"Corequisite CSC Requirements;Weekly homework;Tutorial Assignments;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);","Corequisite CSC Requirements;""Piazza"" Discussion Board;Weekly homework;",Tutorial Activities;Friday In-Person Tutorials ;,Intermediate,Somewhat successful ,Moderately,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Minimal, I only sometimes was able to use STA130 resources to help myself learn to code in Python","Minimally, but STA130 was only somewhat helpful for learning Python",Neither helpful nor unhelpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Neither effectively nor ineffectively,Moderately,Somewhat strong,Somewhat strong,Moderately helpful,"""Coding"" Office Hours;",Good,Moderately helpful,Moderately helpful,Weekly homework;,Reasonably well,Reasonably well,Neutral,Neutral,Neutral,Reasonably well,Reasonably well,Neutral,Reasonably well,Neutral,Reasonably well,Reasonably well,Reasonably well,Visualizing data sets and working with confidence intervals for various real-life situations.,I personally would like the Friday tutorials to be more direct and helpful for what we've learnt that week; more of like a review session.
328,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Somewhat ineffectively,"I wish I did not have to learn Python, I don't really want to;","I am concerned that I might not be able to learn to program in Python on my own;I am concerned that it will be very hard to learn Python;I am hopeful that there will be good support for learning Python in the course, but if not then the course is not well designed;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;",I need access to some guidance and support to help me as I start to learn to code,TRUE,Between 4 to 8 hours,Between 4 to 6 hours ,"Self-Learning (using online resources, etc.);",Monday Class Coding Notebooks;OCCS Class Lecture Recordings;Tutorial Assignments;Tutorial Activities;Friday Tutorial Presentation Notebooks;Friday In-Person Tutorials ;Weekly homework;,"""Coding"" Office Hours;",Beginner,Somewhat unsuccessful,Moderately,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Minimally, but STA130 was only somewhat helpful for learning Python","Not applicable, I was not enrolled in CSC corequisites so I can't judge","Yes, I liked having course topics introduced using Python",Somewhat effectively,Moderately,Somewhat strong,Neutral,Moderately helpful,The Course Project;,Adequate,Moderately helpful,Moderately helpful,The STA130 Mentorship Program;,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Neutral,Neutral,Do all kinds of simulation,Nothing
329,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT135 or MAT136,None of the above,Statistics Major,Adequate,I have never used any programming language before this taking course,I have never used the Python programming language before this taking course,Beginner,Very ineffectively,"I am concerned that since many statistics courses use R rather than Python, using Python might not be the best language choice for this course;",I am concerned that it will be very hard to learn Python;,I need access to some guidance and support to help me as I start to learn to code,TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"South Asian (e.g. East Indian, Pakistani, Sri Lankan);",MAT137,CSC148,Actuarial Science Major,Good,I have used a programming language in a class or some other context for somewhere between up to half of a year,Other,Beginner,Neither effectively nor ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that the increased immersion in Python across different (corequisite) courses will help me learn Python faster;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 4 to 8 hours,Between 2 of 4 hours,"Monday In-Person Class Lectures;""General"" Office Hours;Weekly homework;Friday In-Person Tutorials ;Tutorial Assignments;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);Monday Class Coding Notebooks;OCCS Class Lecture Recordings;","""Coding"" Office Hours;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);Monday Class Coding Notebooks;",Friday In-Person Tutorials ;Tutorial Assignments;Tutorial Activities;,Beginner,Somewhat successful ,Substantially,I need access to some guidance and support to help me as I start to learn to code,"Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Mostly, STA130 was generally helpful for learning Python",Very helpful,"Yes, I liked having course topics introduced using Python",Neither effectively nor ineffectively,Substantially,Somewhat strong,Somewhat strong,Moderately helpful,"""General"" Office Hours;",Good,Slightly helpful,Moderately helpful,Tutorial Assignments;The Course Project;,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Reasonably well,Using Python/coding to do Statistics unlike high school where you had to do actual math,"Maybe choose better TA's because some of them very extremely helpful (the ones that I didn't have), and some of them weren't "
331,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC110,Statistics Major,Very good,I have used a programming language in a class or some other context for somewhere between up to half of a year,"I have used the Python programming language before taking this course, although it is not the primary programming language that I use",Beginner,Very ineffectively,"I am language agnostic, and don't really care which programming language we use;",I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 8 to 12 hours,More than 6 hours,"Monday In-Person Class Lectures;Monday Class Coding Notebooks;Weekly homework;Friday Tutorial Presentation Notebooks;Tutorial Assignments;Classmates (RSGs, study-buddies, etc.);Self-Learning (using online resources, etc.);""Coding"" Office Hours;""General"" Office Hours;","""Coding"" Office Hours;""General"" Office Hours;Monday In-Person Class Lectures;",Corequisite CSC Requirements;,Intermediate,Very successful ,Substantially,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Moderate, there are a fair number of aspects of STA130 which support learning to code in Python","Moderately, STA130 was fairly helpful for learning Python",Somewhat helpful,"Yes, I liked having course topics introduced using Python",Very effectively,Tremendously,Somewhat strong,Somewhat not strong,Slightly helpful,"""Coding"" Office Hours;""General"" Office Hours;",Very good,Moderately helpful,Very helpful,Tutorial Assignments;The Course Project;,Neutral,Neutral,Neutral,Reasonably well,Neutral,Reasonably well,Not very well,Neutral,Neutral,Neutral,Reasonably well,Reasonably well,Reasonably well,The course project and binary classification,I would teach concepts more theoretically and conceptually first before jumping into python
332,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,No,Yes,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC110,None of the above,Very good,I have used a programming language in a class or some other context for somewhere between up to half of a year,"I have used the Python programming language before this taking course, and it is a primary programming language that I routinely use when programming",Beginner,Somewhat ineffectively,I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;I am glad we're using the same programming language as corequisite CSC courses ;,"I am excited to be learning a practical skill that's greatly valued in industry;I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am hopeful that there will be good support for learning Python in the course, but if not I plan to learn what I need to on my own;","I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,Between 4 to 8 hours,Between 4 to 6 hours ,"Monday In-Person Class Lectures;OCCS Class Lecture Recordings;Monday Class Coding Notebooks;""Piazza"" Discussion Board;Weekly homework;Friday In-Person Tutorials ;Self-Learning (using online resources, etc.);Corequisite CSC Requirements;","Corequisite CSC Requirements;OCCS Class Lecture Recordings;Monday Class Coding Notebooks;Friday In-Person Tutorials ;Self-Learning (using online resources, etc.);",Monday In-Person Class Lectures;Tutorial Activities;,Beginner,Somewhat successful ,Tremendously,"I can learn to code on my own, but hope I don't have to rely on just myself to learn","Good, STA130 provides a reasonable amount of support for learning how to code in Python","Mostly, STA130 was generally helpful for learning Python",Very helpful,"Sometimes, but sometimes I would have preferred course topics to be introduced without Python",Somewhat effectively,Tremendously,Somewhat strong,Somewhat strong,Slightly helpful,"Monday In-Person Class Lectures;""Piazza"" Discussion Board;The Course Project;Classmates (RSGs, study-buddies, etc.);Tutorial Activities;Friday In-Person Tutorials ;",Very good,Slightly helpful,Moderately helpful,Weekly homework;Tutorial Assignments;The Course Project;,Reasonably well,Reasonably well,Extremely well,Extremely well,Neutral,Extremely well,Extremely well,Neutral,Neutral,Reasonably well,Reasonably well,Neutral,Not very well,"Learning how to apply the concepts and material through python was interesting. Additionally, I enjoyed how this course allowed me to understand ways statistical methods can be applied to real world situations.",Making the material covered in lectures more similar to what is in the homework.
333,"Yes, I authorize the use of the data collected about me for the STA130 course evaluation to be used in the research study and want to continue now to complete this pre-survey (for which, when completed along with the post-survey available at the end of the semester, I will be compensated 2% of my course grade).",Yes,Yes,No,"East Asian (e.g. Chinese, Korean, Japanese),;",MAT137,CSC108 (or equivalent programming experience),Data Science Specialist,Good,I have used a programming language in a class or some other context for somewhere between up to half of a year,I have never used the Python programming language before this taking course,Beginner,Neither effectively nor ineffectively,I am glad we're using the same programming language as corequisite CSC courses ;I am pleased we're using Python since it's a highly relevant programming language with general usage across many domains;,I am happy that I'll be able to get some additional practice with Python through this course beyond what I already know and am learning other places;I am excited to be learning a practical skill that's greatly valued in industry;,"I can learn to code on my own, but hope I don't have to rely on just myself to learn",TRUE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
