section,section_id,section_sis_id,submitted,attempt,"4421437: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4489826: Question 01 (follow up)
If you answered ""Other"" above, which (and perhaps why, if you'd like to share)?",1.0,"4421438: Question 02 (Week 03)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞
",1.0,"4421441: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; or, learning statistical, data science, and Python programming topics and concepts?",1.0,"4390222: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4421442: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4421440: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.
",1.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 01:38:42 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,Yes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 01:31:55 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,Yes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 01:30:07 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,5,0.0,"Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-27 01:16:21 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-27 00:41:45 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM,I prefer not use a ChatBot for STA130",0.0,they are free,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,ChatBots,0.0,More often than not,0.0,very well,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-26 22:48:25 UTC,1,"ChatGPT (free tier),Microsoft Copilot",0.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,ChatBots,0.0,Yes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-26 22:13:26 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-26 21:11:37 UTC,1,ChatGPT (free tier),1.0,nothing,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,More often than not,0.0,nothing,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-26 20:16:04 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,I think the way we study is interesting I can learn more when I ask chatbot for questions ,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-26 15:35:46 UTC,1,Microsoft Copilot,0.0,"",0.0,"parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,3,0.0,"Course material: Lectures and/or tutorials,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-26 06:35:56 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-26 03:29:45 UTC,1,ChatGPT (free tier),1.0,"None

 ",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,ChatBots,0.0,Sometimes,0.0,"None

 ",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-26 02:44:07 UTC,1,STA130 Custom NotebookLM,0.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,ChatBots,0.0,More often than not,0.0,No,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 23:34:05 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"ChatBots,Other online resources,Lectures and/or tutorials",0.0,More often than not,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 23:11:00 UTC,1,ChatGPT (free tier),1.0,I choose GPT free,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook",0.0,Sometimes,0.0,"I do not have any comments, Chatbot is useful.",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 23:03:21 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM,I prefer not use a ChatBot for STA130",0.0,N o,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,"Sometimes,More often than not,Feedback is about my experience using the STA130 custom NBLM ChatBot",0.0,"I think chatbot is very useful, it can give answers very quickly and the answers are not out of the book content. But I think the answer could be a little more condensed.",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 21:34:17 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 21:08:04 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,1,1.0,Course material: Lectures and/or tutorials,1.0,No,1.0,"",0.0,7,0,5.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 21:02:57 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,1,1.0,Course material: Lectures and/or tutorials,1.0,No,1.0,"",0.0,6,1,4.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 20:27:02 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,ChatBots,0.0,Sometimes,0.0,i do not have other ideal.,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 20:09:55 UTC,1,ChatGPT (paid subscription),0.0,Nothing ,0.0,"Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week)",0.0,4,0.0,Course material: Lectures and/or tutorials,1.0,"Sometimes,Feedback is about my experience using the STA130 custom NBLM ChatBot",0.0,Nothing ,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 18:55:26 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,NA,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,NA,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-25 16:28:56 UTC,1,ChatGPT (free tier),1.0,.,0.0,"understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,"Sometimes,More often than not",0.0,.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-25 04:15:18 UTC,1,ChatGPT (paid subscription),0.0,nothing,0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,More often than not,0.0,meh～,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-25 02:21:49 UTC,1,"ChatGPT (free tier),Other",0.0,Gemini from Google for the same reasons shared before,0.0,"Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,4,0.0,"ChatBots,Lectures and/or tutorials",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-25 01:58:59 UTC,1,ChatGPT (free tier),1.0,no,0.0,"Feedback is about my experience using ChatGPT,understanding and visualizing means versus medians versus right and left skew",0.0,3,0.0,ChatBots,0.0,Sometimes,0.0,no,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-25 01:31:49 UTC,1,ChatGPT (paid subscription),0.0,because ChatGPT response rapidly and carely,0.0,"parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew",0.0,5,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,More often than not,0.0,I want to do more practice questions for preparing term test,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-25 01:21:49 UTC,1,Other,0.0,"Microsoft Copilot

-in code completion

-more code-oriented answers",0.0,understanding and visualizing means versus medians versus right and left skew,0.0,5,0.0,"",0.0,"",0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 23:43:43 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts",0.0,4,0.0,"Course material,ChatBots",0.0,More often than not,0.0,no,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 23:06:10 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,5,0.0,"ChatBots,Lectures and/or tutorials",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,0.0,n/a,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 20:30:25 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material,ChatBots",0.0,Yes,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-24 19:41:53 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,"ChatBots,Other online resources,Lectures and/or tutorials",0.0,Sometimes,0.0,The main content of the examination.,0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 17:21:54 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,No,0.0,"understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,3,0.0,ChatBots,0.0,Sometimes,0.0,Nop,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 17:20:16 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,ChatBots,0.0,Sometimes,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-24 14:51:20 UTC,1,ChatGPT (paid subscription),0.0,I use ChatGPT,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,More often than not,0.0,I think ChatGPT is a great assistance for our studies.,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-24 13:22:15 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,na,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-24 13:00:27 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,Sometimes,0.0,no,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 07:02:25 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,4,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 05:42:59 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material,ChatBots,Other online resources",0.0,More often than not,0.0,I think Chatbots helps me a lot in understanding the concepts.,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-24 04:48:55 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-24 03:25:17 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,5,0.0,"Course material,ChatBots",0.0,More often than not,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-24 01:26:45 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,ChatBots,0.0,Sometimes,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 23:55:33 UTC,1,ChatGPT (free tier),1.0,n/a,0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material,ChatBots",0.0,Yes,0.0,n/a,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 22:58:59 UTC,1,ChatGPT (free tier),1.0,No,0.0,"Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week)",0.0,4,0.0,"Course material,ChatBots,Other online resources,Lectures and/or tutorials",0.0,Sometimes,0.0,Hope that there will be more contents taught in the in person lecture class!,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 22:15:45 UTC,1,ChatGPT (free tier),1.0,Did not answer other,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material,ChatBots,Other online resources",0.0,More often than not,0.0,Nothing to say here,0.0,3,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-23 21:06:49 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,Sometimes,0.0,N/A,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 20:31:28 UTC,1,Microsoft Copilot,0.0,N/A,0.0,"Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,3,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,More often than not,0.0,None,0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-23 20:29:51 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,understanding and explaining Markovian ChatBot code (from last week)",0.0,5,0.0,"Course material,ChatBots,Other online resources,Lectures and/or tutorials",0.0,Sometimes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 20:08:10 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,N/A,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material,ChatBots",0.0,More often than not,0.0,"I think some of the codes are difficult and ChatGPT can’t give specific explanations to me.

That makes me frustrating sometimes.",0.0,2,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-09-23 19:47:06 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"ChatBots,Lectures and/or tutorials",0.0,Yes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 19:32:10 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs",0.0,4,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,Sometimes,0.0,N/A,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 19:21:52 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,3,0.0,"ChatBots,Other online resources",0.0,Sometimes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 19:17:57 UTC,1,ChatGPT (free tier),1.0,no,0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"ChatBots,Lectures and/or tutorials",0.0,Sometimes,0.0,no,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 19:06:27 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"ChatBots,Lectures and/or tutorials",0.0,Sometimes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:19:10 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and visualizing means versus medians versus right and left skew,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,ChatBots,0.0,More often than not,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:13:08 UTC,1,ChatGPT (free tier),1.0,N/A,0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material,ChatBots,Other online resources",0.0,Yes,0.0,Nah,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:12:14 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,N/A,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,"Yes,Feedback is about my experience using the STA130 custom NBLM ChatBot",0.0,N/A,0.0,2,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:12:03 UTC,1,ChatGPT (free tier),1.0,"",0.0,"understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week)",0.0,3,0.0,ChatBots,0.0,Sometimes,0.0,"I feel like there is a lot of material in this course, would it be possible to have a summarized version for midterm for things we should know and be familiar with",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:11:03 UTC,1,ChatGPT (paid subscription),0.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,1,1.0,"Course material,Other online resources,Lectures and/or tutorials",0.0,Sometimes,0.0,STA130 is very hard ,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:10:16 UTC,1,ChatGPT (free tier),1.0,n/a,0.0,"Feedback is about my experience using ChatGPT,understanding\, explaining\, and improving Monte Hall code (from last week),understanding and explaining Markovian ChatBot code (from last week),troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,4,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,"Sometimes,More often than not",0.0,I think I'm learning a lot.,0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:10:10 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,2,0.0,Course material,1.0,Sometimes,0.0,"",0.0,4,3,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:10:03 UTC,1,ChatGPT (free tier),1.0,"",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material,ChatBots,Other online resources,Lectures and/or tutorials",0.0,Sometimes,0.0,"",0.0,3,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-09-23 18:09:58 UTC,1,ChatGPT (free tier),1.0,"",0.0,"Feedback is about my experience using ChatGPT,understanding locations and spreads and annotating them on plotly histograms and seaborn KDEs,parameters versus statistics\, populations versus samples\, and the relationship between these statistical concepts,troubleshooting python errors (from last week probably relevant to every week\, tbh...)",0.0,5,0.0,"Course material,ChatBots,Lectures and/or tutorials",0.0,More often than not,0.0,"",0.0,3,4,1.0
