section,section_id,section_sis_id,submitted,attempt,"4561996: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4603077: Question 02 (Five-Star Rating)
With respect to the course project, rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).",1.0,"4561999: Question 03 (Accuracy)
With respect to the course project, did the ChatBot provide helpful guidance and working code?",1.0,"4562000: Question 04 (Troubleshooting)
With respect to the course project, was the ChatBot able to fix programming problemsin two or fewer prompts based on code error messages?",1.0,"4562001: Question 05 (Focus)
With respect to the course project, was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4562002: Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",0.0,n correct,n incorrect,score
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 17:56:05 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 17:47:19 UTC,1,ChatGPT (paid subscription),0.0,4,0.0,Yes,0.0,Yes,0.0,Sometimes,0.0,n/a,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 17:26:44 UTC,1,ChatGPT (paid subscription),0.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,Great.,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 17:13:39 UTC,1,ChatGPT (paid subscription),0.0,2,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 17:06:19 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,N/A,0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 17:02:03 UTC,1,ChatGPT (paid subscription),0.0,3,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-12-02 15:10:17 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,3,0.0,More often than not,0.0,More often than not,0.0,Sometimes,0.0,please make the final test's curve good.,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 15:05:15 UTC,1,ChatGPT(free tier),1.0,3,0.0,Sometimes,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 15:03:28 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,4,0.0,Yes,0.0,More often than not,0.0,More often than not,0.0,Since there were so many variables to choose a question from I had GPT go and analyze all the variables and help choose variables to study based on the question I had came up with. I however noticed that GPT would sometimes hallucinate variables that did not exist. Or GPT would correctly identify a variable that had data but the variable chosen was not interpreted correctly as in what GPT thought the variable recorded was not actually the question posted beside the variable name in the var_names.csv file,0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 15:01:41 UTC,1,"ChatGPT(free tier),STA130 Custom NotebookLM",0.0,4,0.0,More often than not,0.0,Sometimes,0.0,More often than not,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 15:00:29 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,Yes,0.0,More often than not,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 15:00:12 UTC,1,ChatGPT(free tier),1.0,4,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 15:00:02 UTC,1,"ChatGPT(free tier),ChatGPT (paid subscription)",0.0,5,0.0,Yes,0.0,More often than not,0.0,Yes,0.0,"",0.0,1,5,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 14:44:59 UTC,1,ChatGPT(free tier),1.0,4,0.0,More often than not,0.0,More often than not,0.0,More often than not,0.0,NA,0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 14:44:22 UTC,1,ChatGPT(free tier),1.0,5,0.0,Yes,0.0,Yes,0.0,Yes,0.0,"",0.0,2,4,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-12-02 14:32:37 UTC,1,ChatGPT(free tier),1.0,5,0.0,Sometimes,0.0,Sometimes,0.0,Sometimes,0.0,more curve in final plz,0.0,2,4,1.0
