section,section_id,section_sis_id,submitted,attempt,"4484877: Question 01
Which ChatBot(s) do you tend to use consistently and generally find helpful or useful for STA130?",1.0,"4649635: Midway Question 06 [but this time multiple selection for the whole time the survey is available which I failed to do initially last time...]
Now that you've seen half of the course, completed the midterm exam, and gotten a sense for what Prof. Scott is trying to do with everything in the course... which of the following would you say apply to you?",1.0,"4484878: Question 02 (Week 09)
Which of these topics will your feedback address? And are your responses based on using ChatGPT or the STA130 custom NBLMChatBot?

""My feedback will be about my experience using a ChatBot for the purposes of...""

We're just looking for you to highlight particular aspects of your experience that stood out to you. The options here might not be perfect, but we're hoping they provide enough expressivity for you to give us feedback where it makes sense to you.
✌️🤞",1.0,"4484879: Question 03 (Five-Star Rating)
Rate your experience using a ChatBot in STA130 on a Five-Star scale (where 1 is negative and 5 is positive).
Did you have a good experience regarding ChatBot support in writing, using, and troubleshooting Python code; and, learning statistical, data science, and Python programming topics and concepts?",1.0,"4484880: Question 04 (Learning Support)
Regarding learning statistical, data science, and Python programming topics and concepts (as opposed to just writing, using, and troubleshooting Python code) which of the following did you find to be helpful?",1.0,"4484881: Question 05 (Focus)
Was the scope of the responses of the ChatBot appropriately constrained and sufficiently targeted on the desired information?",1.0,"4484882: Further comments or clarifications?
Feel free togive us any other details, clarifications, or additional feedback that you feel might be relevant or worth sharing!Any comments provided here will be reviewed and helpful for our ongoing evaluations of ChatBots in the STA130 context.",1.0,n correct,n incorrect,score
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 02:03:56 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association""",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-05 00:59:45 UTC,1,"ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 00:42:10 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,I don't have any further comments yet.,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 00:32:11 UTC,1,"ChatGPT (free tier),Microsoft Copilot,STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 00:27:42 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,3,0.0,ChatBots,0.0,Sometimes,0.0,nothing,0.0,3,4,2.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-05 00:15:19 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Specifying and simulating a simple linear regression model,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,"Yes,This feedback is for the STA130 custom NotebookLM ChatBot",0.0,N/A,0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-05 00:13:43 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,Sometimes,0.0,N/A,0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 23:04:04 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 22:16:19 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,"Feedback is about my experience using ChatGPT,Combining the aspect of a fitted model to the data simulated above,Explaining the assumptions of simple linear regression",0.0,4,0.0,"Course material: wiki-textbook,Course material: homework exercises",0.0,Sometimes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 22:03:09 UTC,1,STA130 Custom NotebookLM,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Combining the aspect of a fitted model to the data simulated above,0.0,3,0.0,Course material: wiki-textbook,0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 21:16:52 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 21:03:51 UTC,1,"ChatGPT (free tier),Microsoft Copilot,STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,3,0.0,"Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 20:32:10 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,Feedback is about my experience using ChatGPT,0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Sometimes,0.0,no,0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 20:07:40 UTC,1,STA130 Custom NotebookLM,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,Course material: wiki-textbook,0.0,No,1.0, no,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:57:20 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'd prefer to have taken an easier R-based version of the course,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using ChatGPT,Combining the aspect of a fitted model to the data simulated above",0.0,5,0.0,"Course material: Lectures and/or tutorials,ChatBots,Other online resources",0.0,"More often than not,Yes",0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 19:52:40 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using the STA130 custom NBLM ChatBot,1.0,4,0.0,Course material: Lectures and/or tutorials,1.0,This feedback is for the STA130 custom NotebookLM ChatBot,0.0,"",0.0,5,2,4.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 19:36:55 UTC,1,"ChatGPT (free tier),Microsoft Copilot,STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:34:05 UTC,1,ChatGPT (free tier),1.0,I have a higher opinion of ChatBots than I previously did because of STA130,0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Explaining the assumptions of simple linear regression",0.0,4,0.0,"Course material: Lectures and/or tutorials,ChatBots,Other online resources",0.0,More often than not,0.0,no,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:21:40 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association""",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,N/A,0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:20:29 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:20:11 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots,Other online resources",0.0,Sometimes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 19:19:51 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription)",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:19:26 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:19:23 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,Chatbot is a great tool.,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:19:15 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130",0.0,"Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:19:13 UTC,1,STA130 Custom NotebookLM,0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130,I'm happy to be learning and building the python-oriented skills we're focussed on",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,3,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:19:00 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association""",0.0,4,0.0,ChatBots,0.0,More often than not,0.0,No,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:57 UTC,1,"ChatGPT (free tier),ChatGPT (paid subscription),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'd prefer to have taken an easier R-based version of the course",0.0,"Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Combining the aspect of a fitted model to the data simulated above,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression,Bootstrapping regression slope coefficients and/or simulating their sampling distribution under the null hypothesis of ""no linear association"",Understanding simple linear regression specifications versus indicator variable specification,Comparing two groups with linear regression contrasts\, permutation tests\, or two-sample bootstrapping",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,ChatBots",0.0,More often than not,0.0,N/A,0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:53 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,None of these options,0.0,Yes,0.0,Always wanted but couldn't be bothered to set the STA130 custom chatbot lol,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:49 UTC,1,"ChatGPT (free tier),Microsoft Copilot,STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: wiki-textbook,Course material: homework exercises",0.0,More often than not,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0101-20249,345972,STA130H1-F-LEC0101-20249,2024-11-04 19:17:48 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT,Specifying and simulating a simple linear regression model,Understanding Ordinary Least Squares and proportion of variance explained,Explaining the assumptions of simple linear regression",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:37 UTC,1,ChatGPT (paid subscription),0.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots,Other online resources",0.0,Yes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:35 UTC,1,"ChatGPT (free tier),STA130 Custom NotebookLM",0.0,"I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so,I have a higher opinion of ChatBots than I previously did because of STA130,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: wiki-textbook,ChatBots",0.0,Yes,0.0,"",0.0,1,6,0.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:32 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I rely on ChatBots more than I previously did because of STA130,I believe that in the future I could learn to use R to do the things we do in class\, based on using ChatBot help and support,I am to some degree apprehensive about taking future statistics courses which depend on knowing R\, even with potential ChatBot help and support",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots",0.0,More often than not,0.0,We need chatbot!!!,0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:19 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,Feedback is about my experience using ChatGPT,0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: homework exercises,ChatBots,Other online resources",0.0,More often than not,0.0,"",0.0,3,4,2.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:17:08 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so,I'm building proficiency in using ChatBots to support learning and understanding\, and I appreciate the opportunity to do so",0.0,Feedback is about my experience using ChatGPT,0.0,5,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"",0.0,2,5,1.0
STA130H1-F-LEC0201-20249,345979,STA130H1-F-LEC0201-20249,2024-11-04 19:16:58 UTC,1,ChatGPT (free tier),1.0,"I'm building proficiency in using ChatBots to support efficiency and productivity\, and I appreciate the opportunity to do so",1.0,"Feedback is about my experience using the STA130 custom NBLM ChatBot,Feedback is about my experience using ChatGPT",0.0,4,0.0,"Course material: Lectures and/or tutorials,Course material: wiki-textbook,Course material: homework exercises,ChatBots",0.0,Yes,0.0,"Still worry about if I can study statistic next year, not sure if I got enough average score.",0.0,3,4,2.0
